BaseConf,Z,fNH_10Myr,age_fNH_95_Myr,age_fNH_98_Myr,age_fNH_99,k_SFR_Msun_yr
Padova1994.chab,0.0001,0.97,0.9615,8.71,13.80,0.81
Padova1994.chab,0.0004,1.23,0.9657,8.32,13.18,2.75
Padova1994.chab,0.0040,1.40,0.9783,6.31,10.47,2.20
Padova1994.chab,0.0080,1.54,0.9813,5.75,9.12,2.20
Padova1994.chab,0.0200,1.91,0.9834,5.01,7.94,2.75
Padova1994.chab,0.0500,2.68,0.9775,5.25,508.80,7.75
Padova1994.salp,0.0001,1.62,0.9574,9.12,15.85,3.25
Padova1994.salp,0.0004,2.05,0.9616,8.71,15.85,5.00
Padova1994.salp,0.0040,2.34,0.9749,6.61,12.59,5.00
Padova1994.salp,0.0080,2.59,0.9783,6.03,10.47,5.25
Padova1994.salp,0.0200,3.21,0.9806,5.25,9.55,5.50
Padova1994.salp,0.0500,4.47,0.9734,5.50,2600.00,9.50
Padova2000.chab,0.0004,1.23,0.9660,8.32,13.18,2.40
Padova2000.chab,0.0010,1.22,0.9652,8.32,13.18,1.90
Padova2000.chab,0.0040,1.40,0.9786,6.31,10.47,1.90
Padova2000.chab,0.0080,1.54,0.9818,5.75,9.12,1.80
Padova2000.chab,0.0190,1.91,0.9830,5.01,7.94,3.75
Padova2000.chab,0.0300,1.91,0.9829,5.01,8.32,3.25
Padova2000.salp,0.0004,2.05,0.9618,8.71,15.85,5.50
Padova2000.salp,0.0010,2.03,0.9612,8.71,15.14,5.00
Padova2000.salp,0.0040,2.34,0.9753,6.61,12.02,4.75
Padova2000.salp,0.0080,2.59,0.9788,5.75,10.47,4.25
Padova2000.salp,0.0190,3.21,0.9800,5.25,9.55,6.75
Padova2000.salp,0.0300,3.21,0.9800,5.25,9.55,6.25
